Race,Percentage,Sch_Div
Native Hawaiian  or Pacific Islander,0.293255132,Baker-Butler Elem Albemarle County Public Schools
American Indian or Alaska Native,0.146627566,Baker-Butler Elem Albemarle County Public Schools
"White, not of Hispanic origin",84.16988417,Broadus Wood Elementary Albemarle County Public Schools
Hispanic,7.722007722,Broadus Wood Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",4.633204633,Broadus Wood Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",2.702702703,Broadus Wood Elementary Albemarle County Public Schools
Asian,0.772200772,Broadus Wood Elementary Albemarle County Public Schools
"White, not of Hispanic origin",81.48148148,Brownsville Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",6.216931217,Brownsville Elementary Albemarle County Public Schools
Asian,5.291005291,Brownsville Elementary Albemarle County Public Schools
Hispanic,4.365079365,Brownsville Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",2.380952381,Brownsville Elementary Albemarle County Public Schools
American Indian or Alaska Native,0.132275132,Brownsville Elementary Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.132275132,Brownsville Elementary Albemarle County Public Schools
"White, not of Hispanic origin",72.16494845,Community Lab School Albemarle County Public Schools
Hispanic,11.8556701,Community Lab School Albemarle County Public Schools
"Non-Hispanic, two or more races",8.24742268,Community Lab School Albemarle County Public Schools
Asian,3.608247423,Community Lab School Albemarle County Public Schools
"Black, not of Hispanic origin",3.608247423,Community Lab School Albemarle County Public Schools
American Indian or Alaska Native,0.515463918,Community Lab School Albemarle County Public Schools
"White, not of Hispanic origin",84,Crozet Elementary Albemarle County Public Schools
Hispanic,8.923076923,Crozet Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",3.692307692,Crozet Elementary Albemarle County Public Schools
Asian,2.153846154,Crozet Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",0.923076923,Crozet Elementary Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.307692308,Crozet Elementary Albemarle County Public Schools
"White, not of Hispanic origin",59.94152047,Hollymead Elementary Albemarle County Public Schools
Asian,17.54385965,Hollymead Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",10.81871345,Hollymead Elementary Albemarle County Public Schools
Hispanic,5.847953216,Hollymead Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",5.263157895,Hollymead Elementary Albemarle County Public Schools
American Indian or Alaska Native,0.292397661,Hollymead Elementary Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.292397661,Hollymead Elementary Albemarle County Public Schools
"White, not of Hispanic origin",41.06628242,Jack Jouett Middle Albemarle County Public Schools
Hispanic,24.35158501,Jack Jouett Middle Albemarle County Public Schools
"Black, not of Hispanic origin",21.90201729,Jack Jouett Middle Albemarle County Public Schools
"Non-Hispanic, two or more races",7.780979827,Jack Jouett Middle Albemarle County Public Schools
Asian,4.610951009,Jack Jouett Middle Albemarle County Public Schools
American Indian or Alaska Native,0.288184438,Jack Jouett Middle Albemarle County Public Schools
"White, not of Hispanic origin",44.33333333,Jackson P. Burley Middle Albemarle County Public Schools
Hispanic,24.83333333,Jackson P. Burley Middle Albemarle County Public Schools
"Black, not of Hispanic origin",20.5,Jackson P. Burley Middle Albemarle County Public Schools
"Non-Hispanic, two or more races",5.666666667,Jackson P. Burley Middle Albemarle County Public Schools
Asian,4.5,Jackson P. Burley Middle Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.166666667,Jackson P. Burley Middle Albemarle County Public Schools
"White, not of Hispanic origin",82.77909739,Joseph T. Henley Middle Albemarle County Public Schools
Hispanic,5.819477435,Joseph T. Henley Middle Albemarle County Public Schools
"Non-Hispanic, two or more races",4.631828979,Joseph T. Henley Middle Albemarle County Public Schools
Asian,4.038004751,Joseph T. Henley Middle Albemarle County Public Schools
"Black, not of Hispanic origin",2.256532067,Joseph T. Henley Middle Albemarle County Public Schools
American Indian or Alaska Native,0.237529691,Joseph T. Henley Middle Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.237529691,Joseph T. Henley Middle Albemarle County Public Schools
"White, not of Hispanic origin",64.05109489,Lakeside Middle Albemarle County Public Schools
Hispanic,10.76642336,Lakeside Middle Albemarle County Public Schools
Asian,10.03649635,Lakeside Middle Albemarle County Public Schools
"Non-Hispanic, two or more races",8.576642336,Lakeside Middle Albemarle County Public Schools
"Black, not of Hispanic origin",6.386861314,Lakeside Middle Albemarle County Public Schools
American Indian or Alaska Native,0.182481752,Lakeside Middle Albemarle County Public Schools
"White, not of Hispanic origin",74.9244713,Leslie H. Walton Middle Albemarle County Public Schools
"Black, not of Hispanic origin",9.063444109,Leslie H. Walton Middle Albemarle County Public Schools
Hispanic,9.063444109,Leslie H. Walton Middle Albemarle County Public Schools
"Non-Hispanic, two or more races",5.740181269,Leslie H. Walton Middle Albemarle County Public Schools
Asian,1.208459215,Leslie H. Walton Middle Albemarle County Public Schools
Hispanic,34.0956341,Mary Carr Greer Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",26.61122661,Mary Carr Greer Elementary Albemarle County Public Schools
"White, not of Hispanic origin",24.74012474,Mary Carr Greer Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",7.692307692,Mary Carr Greer Elementary Albemarle County Public Schools
Asian,6.652806653,Mary Carr Greer Elementary Albemarle County Public Schools
American Indian or Alaska Native,0.207900208,Mary Carr Greer Elementary Albemarle County Public Schools
"White, not of Hispanic origin",87.85046729,Meriwether Lewis Elementary Albemarle County Public Schools
Hispanic,6.853582555,Meriwether Lewis Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",3.426791277,Meriwether Lewis Elementary Albemarle County Public Schools
Asian,1.869158879,Meriwether Lewis Elementary Albemarle County Public Schools
"White, not of Hispanic origin",61.80327869,Monticello High Albemarle County Public Schools
Hispanic,16.8852459,Monticello High Albemarle County Public Schools
"Black, not of Hispanic origin",11.14754098,Monticello High Albemarle County Public Schools
"Non-Hispanic, two or more races",7.131147541,Monticello High Albemarle County Public Schools
Asian,2.786885246,Monticello High Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.163934426,Monticello High Albemarle County Public Schools
American Indian or Alaska Native,0.081967213,Monticello High Albemarle County Public Schools
"White, not of Hispanic origin",44.18604651,Mountain View Elementary Albemarle County Public Schools
Hispanic,30.23255814,Mountain View Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",14.6374829,Mountain View Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",7.387140903,Mountain View Elementary Albemarle County Public Schools
Asian,3.283173735,Mountain View Elementary Albemarle County Public Schools
American Indian or Alaska Native,0.136798906,Mountain View Elementary Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.136798906,Mountain View Elementary Albemarle County Public Schools
"White, not of Hispanic origin",69.31216931,Red Hill Elementary Albemarle County Public Schools
Hispanic,15.87301587,Red Hill Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",8.994708995,Red Hill Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",5.291005291,Red Hill Elementary Albemarle County Public Schools
Asian,0.529100529,Red Hill Elementary Albemarle County Public Schools
"White, not of Hispanic origin",70.83333333,Scottsville Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",12.96296296,Scottsville Elementary Albemarle County Public Schools
Hispanic,8.796296296,Scottsville Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",7.407407407,Scottsville Elementary Albemarle County Public Schools
"White, not of Hispanic origin",60,Stone Robinson Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",11.91489362,Stone Robinson Elementary Albemarle County Public Schools
Hispanic,11.70212766,Stone Robinson Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",10.63829787,Stone Robinson Elementary Albemarle County Public Schools
Asian,5.744680851,Stone Robinson Elementary Albemarle County Public Schools
"White, not of Hispanic origin",60.10638298,Stony Point Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",18.08510638,Stony Point Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",9.574468085,Stony Point Elementary Albemarle County Public Schools
Hispanic,8.510638298,Stony Point Elementary Albemarle County Public Schools
Asian,3.723404255,Stony Point Elementary Albemarle County Public Schools
"White, not of Hispanic origin",72.3880597,Virginia L. Murray Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",8.955223881,Virginia L. Murray Elementary Albemarle County Public Schools
Asian,7.835820896,Virginia L. Murray Elementary Albemarle County Public Schools
"Black, not of Hispanic origin",4.850746269,Virginia L. Murray Elementary Albemarle County Public Schools
Hispanic,4.850746269,Virginia L. Murray Elementary Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.746268657,Virginia L. Murray Elementary Albemarle County Public Schools
American Indian or Alaska Native,0.373134328,Virginia L. Murray Elementary Albemarle County Public Schools
"White, not of Hispanic origin",85.306828,Western Albemarle High Albemarle County Public Schools
Hispanic,5.963699222,Western Albemarle High Albemarle County Public Schools
Asian,3.45721694,Western Albemarle High Albemarle County Public Schools
"Non-Hispanic, two or more races",3.370786517,Western Albemarle High Albemarle County Public Schools
"Black, not of Hispanic origin",1.555747623,Western Albemarle High Albemarle County Public Schools
American Indian or Alaska Native,0.259291271,Western Albemarle High Albemarle County Public Schools
Native Hawaiian  or Pacific Islander,0.086430424,Western Albemarle High Albemarle County Public Schools
"Black, not of Hispanic origin",33.80782918,Woodbrook Elementary Albemarle County Public Schools
"White, not of Hispanic origin",25.26690391,Woodbrook Elementary Albemarle County Public Schools
Hispanic,24.91103203,Woodbrook Elementary Albemarle County Public Schools
Asian,9.074733096,Woodbrook Elementary Albemarle County Public Schools
"Non-Hispanic, two or more races",6.939501779,Woodbrook Elementary Albemarle County Public Schools
Hispanic,41.45842799,Alexandria City High Alexandria City Public Schools
"Black, not of Hispanic origin",26.39709223,Alexandria City High Alexandria City Public Schools
"White, not of Hispanic origin",24.85233985,Alexandria City High Alexandria City Public Schools
Asian,4.497955475,Alexandria City High Alexandria City Public Schools
"Non-Hispanic, two or more races",2.407996365,Alexandria City High Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.227169468,Alexandria City High Alexandria City Public Schools
American Indian or Alaska Native,0.159018628,Alexandria City High Alexandria City Public Schools
"White, not of Hispanic origin",43.45454545,Charles Barrett Elementary Alexandria City Public Schools
Hispanic,40.72727273,Charles Barrett Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",8,Charles Barrett Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",5.636363636,Charles Barrett Elementary Alexandria City Public Schools
Asian,1.636363636,Charles Barrett Elementary Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.545454545,Charles Barrett Elementary Alexandria City Public Schools
Hispanic,65.10791367,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
"Black, not of Hispanic origin",16.18705036,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
"White, not of Hispanic origin",13.30935252,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Asian,3.237410072,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
"Non-Hispanic, two or more races",1.798561151,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.35971223,Cora Kelly School for Math Science and Technology Alexandria City Public Schools
"White, not of Hispanic origin",43.91534392,Douglas Macarthur Elementary Alexandria City Public Schools
Hispanic,26.98412698,Douglas Macarthur Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",19.40035273,Douglas Macarthur Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",5.114638448,Douglas Macarthur Elementary Alexandria City Public Schools
Asian,4.05643739,Douglas Macarthur Elementary Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.352733686,Douglas Macarthur Elementary Alexandria City Public Schools
American Indian or Alaska Native,0.176366843,Douglas Macarthur Elementary Alexandria City Public Schools
Hispanic,40.83769634,Ferdinand T. Day Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",33.68237347,Ferdinand T. Day Elementary Alexandria City Public Schools
"White, not of Hispanic origin",15.70680628,Ferdinand T. Day Elementary Alexandria City Public Schools
Asian,7.504363002,Ferdinand T. Day Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",1.745200698,Ferdinand T. Day Elementary Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.34904014,Ferdinand T. Day Elementary Alexandria City Public Schools
American Indian or Alaska Native,0.17452007,Ferdinand T. Day Elementary Alexandria City Public Schools
Hispanic,42.97752809,Francis C. Hammond Middle Alexandria City Public Schools
"Black, not of Hispanic origin",32.65449438,Francis C. Hammond Middle Alexandria City Public Schools
"White, not of Hispanic origin",13.90449438,Francis C. Hammond Middle Alexandria City Public Schools
Asian,8.216292135,Francis C. Hammond Middle Alexandria City Public Schools
"Non-Hispanic, two or more races",1.966292135,Francis C. Hammond Middle Alexandria City Public Schools
American Indian or Alaska Native,0.210674157,Francis C. Hammond Middle Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.070224719,Francis C. Hammond Middle Alexandria City Public Schools
"White, not of Hispanic origin",53.89048991,George Mason Elementary Alexandria City Public Schools
Hispanic,35.73487032,George Mason Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",4.322766571,George Mason Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",3.458213256,George Mason Elementary Alexandria City Public Schools
Asian,2.593659942,George Mason Elementary Alexandria City Public Schools
Hispanic,39.1154112,George Washington Middle Alexandria City Public Schools
"White, not of Hispanic origin",37.73324119,George Washington Middle Alexandria City Public Schools
"Black, not of Hispanic origin",17.27712509,George Washington Middle Alexandria City Public Schools
"Non-Hispanic, two or more races",4.353835522,George Washington Middle Alexandria City Public Schools
Asian,1.451278507,George Washington Middle Alexandria City Public Schools
American Indian or Alaska Native,0.0691085,George Washington Middle Alexandria City Public Schools
Hispanic,35.667107,James K. Polk Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",29.98678996,James K. Polk Elementary Alexandria City Public Schools
"White, not of Hispanic origin",21.13606341,James K. Polk Elementary Alexandria City Public Schools
Asian,9.907529723,James K. Polk Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",3.302509908,James K. Polk Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",50,Jefferson-Houston PK-8 School Alexandria City Public Schools
Hispanic,21.42857143,Jefferson-Houston PK-8 School Alexandria City Public Schools
"White, not of Hispanic origin",20.1863354,Jefferson-Houston PK-8 School Alexandria City Public Schools
"Non-Hispanic, two or more races",4.347826087,Jefferson-Houston PK-8 School Alexandria City Public Schools
Asian,3.571428571,Jefferson-Houston PK-8 School Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.465838509,Jefferson-Houston PK-8 School Alexandria City Public Schools
Hispanic,41.24457308,John Adams Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",25.47033285,John Adams Elementary Alexandria City Public Schools
"White, not of Hispanic origin",20.26049204,John Adams Elementary Alexandria City Public Schools
Asian,10.27496382,John Adams Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",2.170767004,John Adams Elementary Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.434153401,John Adams Elementary Alexandria City Public Schools
American Indian or Alaska Native,0.1447178,John Adams Elementary Alexandria City Public Schools
"White, not of Hispanic origin",55.5,Lyles-Crouch Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",23.75,Lyles-Crouch Elementary Alexandria City Public Schools
Hispanic,12,Lyles-Crouch Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",6,Lyles-Crouch Elementary Alexandria City Public Schools
Asian,2.75,Lyles-Crouch Elementary Alexandria City Public Schools
Hispanic,56.98198198,Mount Vernon Elementary Alexandria City Public Schools
"White, not of Hispanic origin",34.90990991,Mount Vernon Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",3.828828829,Mount Vernon Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",3.153153153,Mount Vernon Elementary Alexandria City Public Schools
Asian,1.126126126,Mount Vernon Elementary Alexandria City Public Schools
"White, not of Hispanic origin",58.52941176,Naomi L. Brooks Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",26.17647059,Naomi L. Brooks Elementary Alexandria City Public Schools
Hispanic,7.941176471,Naomi L. Brooks Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",4.705882353,Naomi L. Brooks Elementary Alexandria City Public Schools
Asian,1.764705882,Naomi L. Brooks Elementary Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.588235294,Naomi L. Brooks Elementary Alexandria City Public Schools
American Indian or Alaska Native,0.294117647,Naomi L. Brooks Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",41.51785714,Patrick Henry K-8 School Alexandria City Public Schools
Hispanic,28.125,Patrick Henry K-8 School Alexandria City Public Schools
"White, not of Hispanic origin",14.0625,Patrick Henry K-8 School Alexandria City Public Schools
Asian,8.816964286,Patrick Henry K-8 School Alexandria City Public Schools
"Non-Hispanic, two or more races",5.803571429,Patrick Henry K-8 School Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,1.5625,Patrick Henry K-8 School Alexandria City Public Schools
American Indian or Alaska Native,0.111607143,Patrick Henry K-8 School Alexandria City Public Schools
"Black, not of Hispanic origin",34.33652531,Samuel W. Tucker Elementary Alexandria City Public Schools
"White, not of Hispanic origin",27.22298222,Samuel W. Tucker Elementary Alexandria City Public Schools
Hispanic,20.65663475,Samuel W. Tucker Elementary Alexandria City Public Schools
Asian,12.03830369,Samuel W. Tucker Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",5.60875513,Samuel W. Tucker Elementary Alexandria City Public Schools
American Indian or Alaska Native,0.136798906,Samuel W. Tucker Elementary Alexandria City Public Schools
Hispanic,56.02006689,William Ramsay Elementary Alexandria City Public Schools
"Black, not of Hispanic origin",24.41471572,William Ramsay Elementary Alexandria City Public Schools
Asian,9.698996656,William Ramsay Elementary Alexandria City Public Schools
"White, not of Hispanic origin",6.856187291,William Ramsay Elementary Alexandria City Public Schools
"Non-Hispanic, two or more races",2.173913043,William Ramsay Elementary Alexandria City Public Schools
American Indian or Alaska Native,0.668896321,William Ramsay Elementary Alexandria City Public Schools
Native Hawaiian  or Pacific Islander,0.16722408,William Ramsay Elementary Alexandria City Public Schools
"White, not of Hispanic origin",88.48797251,Alleghany High Alleghany County Public Schools
"Black, not of Hispanic origin",4.810996564,Alleghany High Alleghany County Public Schools
"Non-Hispanic, two or more races",3.264604811,Alleghany High Alleghany County Public Schools
Hispanic,2.06185567,Alleghany High Alleghany County Public Schools
Asian,1.030927835,Alleghany High Alleghany County Public Schools
American Indian or Alaska Native,0.343642612,Alleghany High Alleghany County Public Schools
"White, not of Hispanic origin",95.71984436,Callaghan Elementary Alleghany County Public Schools
"Non-Hispanic, two or more races",3.501945525,Callaghan Elementary Alleghany County Public Schools
"Black, not of Hispanic origin",0.778210117,Callaghan Elementary Alleghany County Public Schools
"White, not of Hispanic origin",87.59124088,Clifton Middle Alleghany County Public Schools
"Black, not of Hispanic origin",5.109489051,Clifton Middle Alleghany County Public Schools
"Non-Hispanic, two or more races",4.622871046,Clifton Middle Alleghany County Public Schools
Hispanic,2.433090024,Clifton Middle Alleghany County Public Schools
American Indian or Alaska Native,0.243309002,Clifton Middle Alleghany County Public Schools
"White, not of Hispanic origin",79.36170213,Mountain View Elementary Alleghany County Public Schools
"Non-Hispanic, two or more races",10,Mountain View Elementary Alleghany County Public Schools
"Black, not of Hispanic origin",6.595744681,Mountain View Elementary Alleghany County Public Schools
Hispanic,2.978723404,Mountain View Elementary Alleghany County Public Schools
Asian,1.063829787,Mountain View Elementary Alleghany County Public Schools
"White, not of Hispanic origin",89.52879581,Sharon Elementary Alleghany County Public Schools
"Non-Hispanic, two or more races",6.282722513,Sharon Elementary Alleghany County Public Schools
"Black, not of Hispanic origin",2.094240838,Sharon Elementary Alleghany County Public Schools
Hispanic,1.570680628,Sharon Elementary Alleghany County Public Schools
Asian,0.523560209,Sharon Elementary Alleghany County Public Schools
"White, not of Hispanic origin",68.01619433,Amelia County Elementary Amelia County Public Schools
"Black, not of Hispanic origin",15.78947368,Amelia County Elementary Amelia County Public Schools
"Non-Hispanic, two or more races",8.502024291,Amelia County Elementary Amelia County Public Schools
Hispanic,7.692307692,Amelia County Elementary Amelia County Public Schools
"White, not of Hispanic origin",65.72008114,Amelia County High Amelia County Public Schools
"Black, not of Hispanic origin",21.5010142,Amelia County High Amelia County Public Schools
"Non-Hispanic, two or more races",6.693711968,Amelia County High Amelia County Public Schools
Hispanic,6.085192698,Amelia County High Amelia County Public Schools
"White, not of Hispanic origin",66.58354115,Amelia County Middle Amelia County Public Schools
"Black, not of Hispanic origin",17.70573566,Amelia County Middle Amelia County Public Schools
"Non-Hispanic, two or more races",8.728179551,Amelia County Middle Amelia County Public Schools
Hispanic,6.733167082,Amelia County Middle Amelia County Public Schools
American Indian or Alaska Native,0.249376559,Amelia County Middle Amelia County Public Schools
"White, not of Hispanic origin",61.29032258,Amelon Elementary Amherst County Public Schools
"Black, not of Hispanic origin",23.96313364,Amelon Elementary Amherst County Public Schools
"Non-Hispanic, two or more races",8.986175115,Amelon Elementary Amherst County Public Schools
Hispanic,2.534562212,Amelon Elementary Amherst County Public Schools
Asian,1.612903226,Amelon Elementary Amherst County Public Schools
Native Hawaiian  or Pacific Islander,1.152073733,Amelon Elementary Amherst County Public Schools
American Indian or Alaska Native,0.460829493,Amelon Elementary Amherst County Public Schools
"White, not of Hispanic origin",68.03615448,Amherst County High Amherst County Public Schools
"Black, not of Hispanic origin",16.2695152,Amherst County High Amherst County Public Schools
"Non-Hispanic, two or more races",10.7641742,Amherst County High Amherst County Public Schools
Hispanic,3.861955629,Amherst County High Amherst County Public Schools
American Indian or Alaska Native,0.821692687,Amherst County High Amherst County Public Schools
Asian,0.164338537,Amherst County High Amherst County Public Schools
Native Hawaiian  or Pacific Islander,0.082169269,Amherst County High Amherst County Public Schools
"White, not of Hispanic origin",65.2360515,Amherst Elementary Amherst County Public Schools
"Black, not of Hispanic origin",16.30901288,Amherst Elementary Amherst County Public Schools
"Non-Hispanic, two or more races",8.154506438,Amherst Elementary Amherst County Public Schools
Hispanic,7.725321888,Amherst Elementary Amherst County Public Schools
American Indian or Alaska Native,1.287553648,Amherst Elementary Amherst County Public Schools
Asian,0.858369099,Amherst Elementary Amherst County Public Schools
Native Hawaiian  or Pacific Islander,0.429184549,Amherst Elementary Amherst County Public Schools
"White, not of Hispanic origin",72.48677249,Amherst Middle Amherst County Public Schools
"Black, not of Hispanic origin",16.13756614,Amherst Middle Amherst County Public Schools
"Non-Hispanic, two or more races",7.671957672,Amherst Middle Amherst County Public Schools
