Free_And_Reduced_Lunch_Percent_Eligible,Sch_Div
35,Magruder Elementary York County Public Schools
25.7,Queens Lake Middle York County Public Schools
18.1,Waller Mill Elementary York County Public Schools
28.5,Bruton High York County Public Schools
43.7,Bethel Manor Elementary York County Public Schools
46.8,Bland County High Bland County Public Schools
80,Virginia High Bristol City Public Schools
93.7,Highland View Elementary Bristol City Public Schools
93.7,Virginia Middle Bristol City Public Schools
93.9,Joseph Van Pelt Elementary Bristol City Public Schools
79.8,Washington-Lee Elementary Bristol City Public Schools
93.9,Stonewall Jackson Elementary Bristol City Public Schools
47.6,Craig County High Craig County Public Schools
63.2,McCleary Elementary Craig County Public Schools
60.3,Essex High Essex County Public Schools
100,Tappahannock Elementary Essex County Public Schools
48.9,Check Elementary Floyd County Public Schools
40.1,Floyd County High Floyd County Public Schools
49.3,Floyd Elementary Floyd County Public Schools
70.9,Willis Elementary Floyd County Public Schools
42,Indian Valley Elementary Floyd County Public Schools
47.7,Narrows High Giles County Public Schools
36.2,Giles High Giles County Public Schools
54.8,Macy Mcclaugherty Elementary/Middle Giles County Public Schools
91.1,A.W.E. Bassette Elementary Hampton City Public Schools
29.5,Armstrong Elementary Hampton City Public Schools
91,C. Alton Lindsay Middle Hampton City Public Schools
91.1,Hunter B. Andrews Hampton City Public Schools
42.2,Francis W. Jones Magnet Middle Hampton City Public Schools
91.1,Jane H. Bryan Elementary Hampton City Public Schools
90.9,Mary T. Christian Elementary Hampton City Public Schools
61.1,Phoebus High Hampton City Public Schools
40.8,Francis Asbury Elementary Hampton City Public Schools
91.1,Aberdeen Elementary Hampton City Public Schools
44.7,Bethel High Hampton City Public Schools
91.2,Cesar Tarrant Middle Hampton City Public Schools
39.5,George P. Phenix Elementary Hampton City Public Schools
30.8,Mary W. Jackson Elementary Hampton City Public Schools
55,Paul Burbank Elementary Hampton City Public Schools
53.2,Thomas Eaton Middle Hampton City Public Schools
40.5,William Mason Cooper Elementary Hampton City Public Schools
91.1,Benjamin Syms Middle Hampton City Public Schools
55.2,Hampton High Hampton City Public Schools
91.1,Mary S. Peake Elementary Hampton City Public Schools
53.6,Phillips Elementary Hampton City Public Schools
52.8,Samuel P. Langley Elementary Hampton City Public Schools
39.6,Kecoughtan High Hampton City Public Schools
91,Albert W. Patrick III Elementary Hampton City Public Schools
91.1,Captain John Smith Elementary Hampton City Public Schools
40,Barron Elementary Hampton City Public Schools
60.8,Alfred S. Forrest Elementary Hampton City Public Schools
88.6,Sanville Elementary Henry County Public Schools
88.7,Drewry Mason Elementary Henry County Public Schools
88.6,Magna Vista High Henry County Public Schools
88.6,Stanleytown Elementary Henry County Public Schools
88.7,Meadow View Elementary Henry County Public Schools
88.7,Bassett High Henry County Public Schools
88.7,Rich Acres Elementary Henry County Public Schools
88.8,Campbell Court Elementary Henry County Public Schools
88.6,Axton Elementary Henry County Public Schools
96,Ingleside Elementary Norfolk City Public Schools
96,Lake Taylor Norfolk City Public Schools
53.3,Bay View Elementary Norfolk City Public Schools
54.2,Mary Calcott Elementary Norfolk City Public Schools
96,Northside Middle Norfolk City Public Schools
59.3,Ocean View Elementary Norfolk City Public Schools
95.9,Oceanair Elementary Norfolk City Public Schools
96,Booker T Washington High Norfolk City Public Schools
96,Chesterfield Elementary Norfolk City Public Schools
95.9,Jacox Elementary Norfolk City Public Schools
96.1,Lindenwood Elementary Norfolk City Public Schools
95.9,Richard Bowling Elementary Norfolk City Public Schools
96.1,Tidewater Park Elementary Norfolk City Public Schools
95.9,William H. Ruffner Middle Norfolk City Public Schools
61.8,Camp Allen Elementary Norfolk City Public Schools
95.9,Granby Elementary Norfolk City Public Schools
48.6,Sewells Point Elementary Norfolk City Public Schools
95.9,Suburban Park Elementary Norfolk City Public Schools
31.1,Walter Herron Taylor Elementary Norfolk City Public Schools
96.1,James Monroe Elementary Norfolk City Public Schools
22.6,Larchmont Elementary Norfolk City Public Schools
96,Coleman Place Elementary Norfolk City Public Schools
96.1,Norview Elementary Norfolk City Public Schools
56.8,Norview High Norfolk City Public Schools
96,Norview Middle Norfolk City Public Schools
96,Sherwood Forest Elementary Norfolk City Public Schools
96,Tanners Creek Elementary Norfolk City Public Schools
64,Blair Middle Norfolk City Public Schools
30.6,Ghent K-8 Norfolk City Public Schools
65.2,Azalea Gardens Middle Norfolk City Public Schools
61.4,Crossroads PreK-8 School Norfolk City Public Schools
95.9,Little Creek Elementary Norfolk City Public Schools
95.9,St. Helena Elementary Norfolk City Public Schools
55,Granby High Norfolk City Public Schools
32.7,Academy for Discovery at Lakewood Norfolk City Public Schools
96.1,Willard Elementary Norfolk City Public Schools
52.7,Tarrallton Elementary Norfolk City Public Schools
96,Larrymore Elementary Norfolk City Public Schools
48.5,Belle Heth Elementary Radford City Public Schools
41.3,John N. Dalton Intermediate Radford City Public Schools
35.3,Radford High Radford City Public Schools
100,Breckinridge Middle Roanoke City Public Schools
100,Lincoln Terrace Elementary Roanoke City Public Schools
100,Monterey Elementary Roanoke City Public Schools
100,Preston Park Elementary Roanoke City Public Schools
100,Round Hill Elementary Roanoke City Public Schools
100,Fallon Park Elementary Roanoke City Public Schools
100,John P. Fishwick Middle Roanoke City Public Schools
100,Morningside Elementary Roanoke City Public Schools
24.4,Crystal Spring Elementary Roanoke City Public Schools
100,Garden City Elementary Roanoke City Public Schools
34.5,Grandin Court Elementary Roanoke City Public Schools
100,James Madison Middle Roanoke City Public Schools
100,Patrick Henry High Roanoke City Public Schools
100,Virginia Heights Elementary Roanoke City Public Schools
100,Wasena Elementary Roanoke City Public Schools
100,Woodrow Wilson Middle Roanoke City Public Schools
100,Addison Aerospace Magnet Middle Roanoke City Public Schools
100,Highland Park Elementary Roanoke City Public Schools
100,Hurt Park Elementary Roanoke City Public Schools
100,Fairview Elementary Roanoke City Public Schools
100,Roanoke Academy For Mathematics & Science Elementary Roanoke City Public Schools
100,Westside Elementary Roanoke City Public Schools
100,William Fleming High Roanoke City Public Schools
100,Fishburn Park Elementary Roanoke City Public Schools
58.9,Hilton Elementary Scott County Public Schools
90.8,Duffield-Pattonsville Primary Scott County Public Schools
65.8,Rye Cove High Scott County Public Schools
78.3,Dungannon Elementary School Scott County Public Schools
53.4,Gate City High Scott County Public Schools
83,Shoemaker Elementary Scott County Public Schools
38.7,Yuma Elementary Scott County Public Schools
52,Weber City Elementary Scott County Public Schools
61.6,Nickelsville Elementary Scott County Public Schools
78.4,Twin Springs High Scott County Public Schools
55,Gate City Middle Scott County Public Schools
64.7,Rye Cove Intermediate Scott County Public Schools
82.9,Fort Blackmore Primary Scott County Public Schools
75.8,Atkins Elementary Smyth County Public Schools
77.7,Oak Point Elementary Smyth County Public Schools
77.7,Chilhowie High Smyth County Public Schools
75.8,Northwood High Smyth County Public Schools
75.5,Northwood Middle Smyth County Public Schools
75.9,Rich Valley Elementary Smyth County Public Schools
75.7,Chilhowie Elementary Smyth County Public Schools
78,Sugar Grove Elementary Smyth County Public Schools
75.7,Marion Middle Smyth County Public Schools
77.9,Saltville Elementary Smyth County Public Schools
77.7,Marion Elementary Smyth County Public Schools
77.9,Chilhowie Middle Smyth County Public Schools
77.7,Marion Senior High Smyth County Public Schools
34.3,Colonel Fred Cherry Middle Suffolk City Public Schools
99.7,Booker T. Washington Elementary Suffolk City Public Schools
92,Elephant's Fork Elementary Suffolk City Public Schools
88.3,Hillpoint Elementary Suffolk City Public Schools
84.2,John F. Kennedy Middle Suffolk City Public Schools
49.5,Kilby Shores Elementary Suffolk City Public Schools
43.5,King's Fork High Suffolk City Public Schools
53.1,King's Fork Middle Suffolk City Public Schools
48.3,Lakeland High Suffolk City Public Schools
88.2,Mack Benn Jr. Elementary Suffolk City Public Schools
43.1,Creekside Elementary Suffolk City Public Schools
38.5,Florence Bowser Elementary Suffolk City Public Schools
23.8,Nansemond River High Suffolk City Public Schools
22.8,Northern Shores Elementary Suffolk City Public Schools
24.9,John Yeates Middle Suffolk City Public Schools
48.4,Nansemond Parkway Elementary Suffolk City Public Schools
46.9,Forest Glen Middle Suffolk City Public Schools
43.1,Oakland Elementary Suffolk City Public Schools
46,Southwestern Elementary Suffolk City Public Schools
50.4,Surry County High Surry County Public Schools
60.6,Luther P. Jackson Middle Surry County Public Schools
68.9,Surry Elementary Surry County Public Schools
61.2,Speedwell Elementary Wythe County Public Schools
51.6,George Wythe High Wythe County Public Schools
52.9,Scott Memorial Middle Wythe County Public Schools
54,Sheffey Elementary Wythe County Public Schools
55.2,Spiller Elementary Wythe County Public Schools
41,Fort Chiswell High Wythe County Public Schools
49.7,Fort Chiswell Middle Wythe County Public Schools
48.5,Rural Retreat Middle Wythe County Public Schools
51.2,Rural Retreat Elementary Wythe County Public Schools
41.1,Rural Retreat High Wythe County Public Schools
53.9,Max Meadows Elementary Wythe County Public Schools
54.9,Jackson Memorial Elementary Wythe County Public Schools
56.4,Amelia County Middle Amelia County Public Schools
57.4,Amelia County Elementary Amelia County Public Schools
44.8,Amelia County High Amelia County Public Schools
16.6,Clarke County High Clarke County Public Schools
25.1,D.G. Cooley Elementary Clarke County Public Schools
21.4,Johnson-Williams Middle Clarke County Public Schools
24.9,Boyce Elementary Clarke County Public Schools
100,G.L.H. Johnson Elementary Danville City Public Schools
100,O. Trent Bonner Middle Danville City Public Schools
100,Westwood Middle Danville City Public Schools
100,Woodberry Hills Elementary Danville City Public Schools
100,Edwin A. Gibson Elementary Danville City Public Schools
100,Forest Hills Elementary Danville City Public Schools
100,Galileo Magnet High Danville City Public Schools
100,George Washington High Danville City Public Schools
100,Park Avenue Elementary Danville City Public Schools
100,Schoolfield Elementary Danville City Public Schools
100,Franklin High Franklin City Public Schools
100,Joseph P. King Jr. Middle Franklin City Public Schools
100,S.P. Morton Elementary Franklin City Public Schools
35.1,Ruckersville Elementary Greene County Public Schools
46.9,Nathanael Greene Elementary Greene County Public Schools
34,William Monroe High Greene County Public Schools
42.1,William Monroe Middle Greene County Public Schools
98.7,Dupont Elementary Hopewell City Public Schools
98.6,Harry E. James Elementary Hopewell City Public Schools
98.7,Hopewell High Hopewell City Public Schools
98.7,Carter G. Woodson Middle Hopewell City Public Schools
98.7,Patrick Copeland Elementary Hopewell City Public Schools
57.9,Thomas Jefferson Elementary Louisa County Public Schools
52.8,Trevilians Elementary Louisa County Public Schools
48.5,Jouett Elementary Louisa County Public Schools
39.9,Louisa County High Louisa County Public Schools
46.2,Louisa County Middle Louisa County Public Schools
35.6,Moss-Nuckols Elementary Louisa County Public Schools
62.4,Baldwin Intermediate Manassas City Public Schools
62.7,Mayfield Intermediate Manassas City Public Schools
64.2,Richard C. Haydon Elementary Manassas City Public Schools
78.3,Weems Elementary Manassas City Public Schools
51.8,Osbourn High Manassas City Public Schools
60,Baldwin Elementary Manassas City Public Schools
57.7,George Carr Round Elementary Manassas City Public Schools
70.2,Jennie Dean Elementary Manassas City Public Schools
46.2,Nelson County High Nelson County Public Schools
51.5,Nelson Middle Nelson County Public Schools
53.4,Rockfish River Elementary Nelson County Public Schools
57.9,Tye River Elementary Nelson County Public Schools
56.7,Orange Elementary Orange County Public Schools
55.7,Prospect Heights Middle Orange County Public Schools
47.6,Locust Grove Elementary Orange County Public Schools
40.8,Locust Grove Middle Orange County Public Schools
60.5,Gordon-Barbour Elementary Orange County Public Schools
42.4,Lightfoot Elementary Orange County Public Schools
17.1,Poquoson Elementary Poquoson City Public Schools
16.8,Poquoson Middle Poquoson City Public Schools
14.2,Poquoson High Poquoson City Public Schools
100,Binford Middle Richmond City Public Schools
100,John B. Cary Elementary Richmond City Public Schools
100,River City Middle Richmond City Public Schools
100,George Wythe High Richmond City Public Schools
100,Lucille M. Brown Middle Richmond City Public Schools
100,Miles Jones Elementary Richmond City Public Schools
100,Ginter Park Elementary Richmond City Public Schools
100,George W. Carver Elementary Richmond City Public Schools
100,Open High Richmond City Public Schools
100,Amelia Street Special Education Richmond City Public Schools
100,Albert Hill Middle Richmond City Public Schools
100,Barack Obama Elementary Richmond City Public Schools
100,Richmond Community High Richmond City Public Schools
100,Overby-Sheppard Elementary Richmond City Public Schools
100,Fairfield Court Elementary Richmond City Public Schools
100,Woodville Elementary Richmond City Public Schools
100,Henry Marsh III Elementary Richmond City Public Schools
100,Bellevue Elementary Richmond City Public Schools
100,Chimborazo Elementary Richmond City Public Schools
100,Swansboro Elementary Richmond City Public Schools
100,Blackwell Elementary Richmond City Public Schools
100,Cardinal Elementary Richmond City Public Schools
100,J.L. Francis Elementary Richmond City Public Schools
100,Oak Grove/Bellemeade Elementary Richmond City Public Schools
100,Southampton Elementary Richmond City Public Schools
100,Huguenot High Richmond City Public Schools
100,Elizabeth D. Redd Elementary Richmond City Public Schools
100,Westover Hills Elementary Richmond City Public Schools
100,G.H. Reid Elementary Richmond City Public Schools
100,Mary Munford Elementary Richmond City Public Schools
100,Henderson Middle Richmond City Public Schools
100,John Marshall High Richmond City Public Schools
100,Thomas Jefferson High Richmond City Public Schools
100,Broad Rock Elementary Richmond City Public Schools
100,Thomas C. Boushall Middle Richmond City Public Schools
100,J.B. Fisher Elementary Richmond City Public Schools
100,Linwood Holton Elementary Richmond City Public Schools
100,Franklin Military Academy Richmond City Public Schools
100,William Fox Elementary Richmond City Public Schools
74.5,Arthur R. Ware Elementary Staunton City Public Schools
35.1,Thomas C. McSwain Elementary Staunton City Public Schools
38,Staunton High Staunton City Public Schools
74.5,Shelburne Middle Staunton City Public Schools
74.5,Bessie Weller Elementary Staunton City Public Schools
87.9,Sussex Central High Sussex County Public Schools
88.1,Sussex Central Elementary Sussex County Public Schools
88.1,Sussex Central Middle Sussex County Public Schools
90.9,E. Wilson Morrison Elementary Warren County Public Schools
40,Hilda J. Barbour Elementary Warren County Public Schools
42.4,Leslie Fox Keyser Elementary Warren County Public Schools
55,Ressie Jeffries Elementary Warren County Public Schools
37.6,Skyline High Warren County Public Schools
50,Skyline Middle Warren County Public Schools
36.2,Warren County High Warren County Public Schools
40.8,Warren County Middle Warren County Public Schools
37.3,A.S. Rhodes Elementary Warren County Public Schools
41.4,Amherst County High Amherst County Public Schools
46,Amherst Elementary Amherst County Public Schools
47.7,Amherst Middle Amherst County Public Schools
90.1,Central Elementary Amherst County Public Schools
47.1,Temperance Elementary Amherst County Public Schools
53,Amelon Elementary Amherst County Public Schools
89.9,Madison Heights Elementary Amherst County Public Schools
56.4,Monelison Middle Amherst County Public Schools
41.2,Elon Elementary Amherst County Public Schools
35.1,Buffalo Gap High Augusta County Public Schools
39.8,Beverley Manor Middle Augusta County Public Schools
44.5,Riverheads Elementary Augusta County Public Schools
31.1,Riverheads High Augusta County Public Schools
37.1,Churchville Elementary Augusta County Public Schools
32.2,Wilson Memorial High Augusta County Public Schools
38.7,Wilson Middle Augusta County Public Schools
41.2,Edward G. Clymore Elementary Augusta County Public Schools
28.8,Fort Defiance High Augusta County Public Schools
41.9,S. Gordon Stewart Middle Augusta County Public Schools
39,Guy K. Stump Elementary Augusta County Public Schools
32.1,Stuarts Draft High Augusta County Public Schools
39.8,Stuarts Draft Middle Augusta County Public Schools
37.7,Wilson Elementary Augusta County Public Schools
47.5,Cassell Elementary Augusta County Public Schools
83.3,Craigsville Elementary Augusta County Public Schools
45.6,North River Elementary Augusta County Public Schools
44.1,Stuarts Draft Elementary Augusta County Public Schools
13.5,Forest Elementary Bedford County Public Schools
19.5,Forest Middle Bedford County Public Schools
16.9,Jefferson Forest High Bedford County Public Schools
18.2,New London Academy Elementary Bedford County Public Schools
57.6,Moneta Elementary Bedford County Public Schools
49,Staunton River High Bedford County Public Schools
61.5,Bedford Elementary Bedford County Public Schools
48.7,Liberty High Bedford County Public Schools
51.1,Liberty Middle Bedford County Public Schools
49.3,Goodview Elementary Bedford County Public Schools
64.3,Stewartsville Elementary Bedford County Public Schools
59.9,Montvale Elementary Bedford County Public Schools
22,Boonsboro Elementary Bedford County Public Schools
48.4,Big Island Elementary Bedford County Public Schools
53.1,Staunton River Middle Bedford County Public Schools
21.6,Thomas Jefferson Elementary Bedford County Public Schools
51.9,Huddleston Elementary Bedford County Public Schools
36.1,Otter River Elementary Bedford County Public Schools
73.6,St. Paul Carroll County Public Schools
66.8,Gladeville Elementary Carroll County Public Schools
42.6,Fancy Gap Elementary Carroll County Public Schools
67.2,Gladesboro Elementary Carroll County Public Schools
60.2,Laurel Elementary Carroll County Public Schools
48.5,Carroll County High Carroll County Public Schools
62.6,Hillsville Elementary Carroll County Public Schools
59.8,Carroll County Middle Carroll County Public Schools
67,Oakland Elementary Carroll County Public Schools
77.6,Colonial Beach Elementary Colonial Beach Public Schools
77.5,Colonial Beach High Colonial Beach Public Schools
9.5,Terra Centre Elementary Fairfax County Public Schools
34.6,Gunston Elementary Fairfax County Public Schools
16.2,Laurel Hill Elementary Fairfax County Public Schools
51.5,Lorton Station Elementary Fairfax County Public Schools
20.7,South County High Fairfax County Public Schools
22.9,South County Middle Fairfax County Public Schools
1.7,Chesterbrook Elementary Fairfax County Public Schools
1.8,Churchill Road Elementary Fairfax County Public Schools
1.7,Cooper Middle Fairfax County Public Schools
1.6,Kent Gardens Elementary Fairfax County Public Schools
2.1,Langley High Fairfax County Public Schools
9,McLean High Fairfax County Public Schools
4.2,Spring Hill Elementary Fairfax County Public Schools
9.9,Waples Mill Elementary Fairfax County Public Schools
82.6,Dogwood Elementary Fairfax County Public Schools
9.9,Archer Elementary Fairfax County Public Schools
31.8,Cunningham Park Elementary Fairfax County Public Schools
6.9,Flint Hill Elementary Fairfax County Public Schools
10.9,Oakton High Fairfax County Public Schools
1.7,Colvin Run Elementary Fairfax County Public Schools
28.1,Freedom Hill Elementary Fairfax County Public Schools
29.7,Kilmer Center Fairfax County Public Schools
17.4,Kilmer Middle Fairfax County Public Schools
4.6,Westbriar Elementary Fairfax County Public Schools
1.1,Wolftrap Elementary Fairfax County Public Schools
32,Daniels Run Elementary Fairfax County Public Schools
28.2,Eagle View Elementary Fairfax County Public Schools
23.5,Fairfax Villa Elementary Fairfax County Public Schools
32.2,Johnson Middle Fairfax County Public Schools
43.1,Providence Elementary Fairfax County Public Schools
9.5,Willow Springs Elementary Fairfax County Public Schools
26.4,Fairhill Elementary Fairfax County Public Schools
14,Mantua Elementary Fairfax County Public Schools
13.3,Frost Middle Fairfax County Public Schools
22.5,Little Run Elementary Fairfax County Public Schools
7,Oak View Elementary Fairfax County Public Schools
10.8,Robinson Secondary Fairfax County Public Schools
7.7,Wakefield Forest Elementary Fairfax County Public Schools
25.9,Greenbriar East Elementary Fairfax County Public Schools
13.8,Lees Corner Elementary Fairfax County Public Schools
3.7,Navy Elementary Fairfax County Public Schools
11.7,Carson Middle Fairfax County Public Schools
51.3,Coates Elementary Fairfax County Public Schools
60.7,Annandale High Fairfax County Public Schools
82.6,Annandale Terrace Elementary Fairfax County Public Schools
82.6,Braddock Elementary Fairfax County Public Schools
34.7,Camelot Elementary Fairfax County Public Schools
14.4,Canterbury Woods Elementary Fairfax County Public Schools
38,Columbia Elementary Fairfax County Public Schools
72.3,Poe Middle Fairfax County Public Schools
28.4,Westfield High Fairfax County Public Schools
71.5,Mount Eagle Elementary Fairfax County Public Schools
46.5,Bryant High Fairfax County Public Schools
82.6,Groveton Elementary Fairfax County Public Schools
58.7,Hollin Meadows Elementary Fairfax County Public Schools
82.6,Hybla Valley Elementary Fairfax County Public Schools
31.4,Belle View Elementary Fairfax County Public Schools
63.1,Bucknell Elementary Fairfax County Public Schools
42.3,West Potomac High Fairfax County Public Schools
48.6,Sandburg Middle Fairfax County Public Schools
1.4,Waynewood Elementary Fairfax County Public Schools
58.3,Mount Vernon High Fairfax County Public Schools
82.6,Mount Vernon Woods Elementary Fairfax County Public Schools
82.6,Riverside Elementary Fairfax County Public Schools
54.5,Washington Mill Elementary Fairfax County Public Schools
69.5,Woodlawn Elementary Fairfax County Public Schools
82.7,Woodley Hills Elementary Fairfax County Public Schools
22.2,Bush Hill Elementary Fairfax County Public Schools
13.3,Clermont Elementary Fairfax County Public Schools
38.1,Edison High Fairfax County Public Schools
24,Franconia Elementary Fairfax County Public Schools
42.3,Rose Hill Elementary Fairfax County Public Schools
65.5,Glasgow Middle Fairfax County Public Schools
59.4,Holmes Middle Fairfax County Public Schools
82.6,Parklawn Elementary Fairfax County Public Schools
1.8,Thomas Jefferson High for Science and Technology Fairfax County Public Schools
82.6,Weyanoke Elementary Fairfax County Public Schools
29.9,Hayfield Secondary Fairfax County Public Schools
10,Island Creek Elementary Fairfax County Public Schools
31.7,Stone Middle Fairfax County Public Schools
39.3,Virginia Run Elementary Fairfax County Public Schools
34.8,Bull Run Elementary Fairfax County Public Schools
3.3,Forestville Elementary Fairfax County Public Schools
3.1,Great Falls Elementary Fairfax County Public Schools
31.9,Terraset Elementary Fairfax County Public Schools
28.5,South Lakes High Fairfax County Public Schools
15.2,Armstrong Elementary Fairfax County Public Schools
82.6,Crestwood Elementary Fairfax County Public Schools
55.2,Forestdale Elementary Fairfax County Public Schools
46.1,Key Center Fairfax County Public Schools
61.5,Key Middle Fairfax County Public Schools
82.6,Lynbrook Elementary Fairfax County Public Schools
31,Springfield Estates Elementary Fairfax County Public Schools
26.1,Kings Glen Elementary Fairfax County Public Schools
19.4,Kings Park Elementary Fairfax County Public Schools
42.8,North Springfield Elementary Fairfax County Public Schools
15.5,Ravensworth Elementary Fairfax County Public Schools
30.1,Cardinal Forest Elementary Fairfax County Public Schools
6.8,Hunt Valley Elementary Fairfax County Public Schools
15.5,Irving Middle Fairfax County Public Schools
18.1,Keene Mill Elementary Fairfax County Public Schools
6.2,Orange Hunt Elementary Fairfax County Public Schools
20.8,Rolling Valley Elementary Fairfax County Public Schools
15,West Springfield High Fairfax County Public Schools
2.6,Sangster Elementary Fairfax County Public Schools
40.9,Saratoga Elementary Fairfax County Public Schools
28.7,Centreville High Fairfax County Public Schools
11.1,Union Mill Elementary Fairfax County Public Schools
52.3,Belvedere Elementary Fairfax County Public Schools
82.6,Glen Forest Elementary Fairfax County Public Schools
55.5,Falls Church High Fairfax County Public Schools
82.7,Graham Road Elementary Fairfax County Public Schools
63.6,Pine Spring Elementary Fairfax County Public Schools
70.6,Westlawn Elementary Fairfax County Public Schools
82.7,Woodburn Elementary Fairfax County Public Schools
1.4,Haycock Elementary Fairfax County Public Schools
8.5,Longfellow Middle Fairfax County Public Schools
20.1,Marshall High Fairfax County Public Schools
23.3,Shrevewood Elementary Fairfax County Public Schools
30.3,Westgate Elementary Fairfax County Public Schools
82.6,Bailey's Upper Elementary School for the Arts and Sciences Fairfax County Public Schools
60.7,Sleepy Hollow Elementary Fairfax County Public Schools
59.5,Timber Lane Elementary Fairfax County Public Schools
35.2,Fort Belvoir Upper Elementary Fairfax County Public Schools
47.1,Dranesville Elementary Fairfax County Public Schools
51.5,Clearview Elementary Fairfax County Public Schools
44.9,Herndon High Fairfax County Public Schools
66.3,Herndon Elementary Fairfax County Public Schools
82.6,Hutchison Elementary Fairfax County Public Schools
4.7,Crossfield Elementary Fairfax County Public Schools
6.7,Fox Mill Elementary Fairfax County Public Schools
5.4,Oak Hill Elementary Fairfax County Public Schools
7.1,Poplar Tree Elementary Fairfax County Public Schools
14.8,Rocky Run Middle Fairfax County Public Schools
17.2,Franklin Middle Fairfax County Public Schools
7.2,Fairview Elementary Fairfax County Public Schools
39.3,Halley Elementary Fairfax County Public Schools
8.2,Silverbrook Elementary Fairfax County Public Schools
15.2,Cub Run Elementary Fairfax County Public Schools
29.7,Deer Park Elementary Fairfax County Public Schools
45.3,Mountain View High Fairfax County Public Schools
57.1,Centre Ridge Elementary Fairfax County Public Schools
27.9,Centreville Elementary Fairfax County Public Schools
65.4,Whitman Middle Fairfax County Public Schools
82.5,Garfield Elementary Fairfax County Public Schools
61.9,Cameron Elementary Fairfax County Public Schools
63.4,Justice High Fairfax County Public Schools
53.1,London Towne Elementary Fairfax County Public Schools
26.8,Marshall Road Elementary Fairfax County Public Schools
16.4,Olde Creek Elementary Fairfax County Public Schools
32.2,Liberty Middle Fairfax County Public Schools
9,West Springfield Elementary Fairfax County Public Schools
3.6,Sherman Elementary Fairfax County Public Schools
8.4,Oakton Elementary Fairfax County Public Schools
21.9,Mosaic Elementary Fairfax County Public Schools
16.4,Lemon Road Elementary Fairfax County Public Schools
9.9,Madison High Fairfax County Public Schools
24.3,Fairfax High Fairfax County Public Schools
39.8,Lake Anne Elementary Fairfax County Public Schools
33.4,Twain Middle Fairfax County Public Schools
18.8,Chantilly High Fairfax County Public Schools
15.1,Hayfield Elementary Fairfax County Public Schools
26.5,Newington Forest Elementary Fairfax County Public Schools
23,Hunters Woods Elementary School for the Arts and Sciences Fairfax County Public Schools
6.3,Cherry Run Elementary Fairfax County Public Schools
7.8,Vienna Elementary Fairfax County Public Schools
52,Herndon Middle Fairfax County Public Schools
62,Brookfield Elementary Fairfax County Public Schools
55.2,Lewis High Fairfax County Public Schools
47.6,Mason Crest Elementary Fairfax County Public Schools
59.4,Bren Mar Park Elementary Fairfax County Public Schools
19.7,Lane Elementary Fairfax County Public Schools
50.3,Jackson Middle Fairfax County Public Schools
15.5,Thoreau Middle Fairfax County Public Schools
15.4,Aldrin Elementary Fairfax County Public Schools
15.3,Lake Braddock Secondary Fairfax County Public Schools
9.2,Stenwood Elementary Fairfax County Public Schools
11.4,Woodson High Fairfax County Public Schools
14.5,Greenbriar West Elementary Fairfax County Public Schools
7,Floris Elementary Fairfax County Public Schools
51.5,Forest Edge Elementary Fairfax County Public Schools
